track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,spotify_search_link,youtube_search_url,youtube_url,mood_category
instagram,DEAN,1,2017,12,26,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2734ee9dc60013d5648d0f23bcc,https://open.spotify.com/track/6z1kLsntE7FuzKZHZWrXYN,,https://www.youtube.com/watch?v=wKyMIrBClYw,calm and peaceful
spin you round,Rocco,1,2022,7,27,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2731833c845ff52a19cf7906573,https://open.spotify.com/track/2LO5hQnz5rEaRwkGUvZcHN,,https://www.youtube.com/watch?v=9WHtkfKnZ-w,calm and peaceful
ALL MINE,Brent Faiyaz,1,2022,7,8,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,https://open.spotify.com/track/3XgGQ1wjo5khvq2UImjyNF,,https://www.youtube.com/watch?v=CHtfJ-UZJM4,calm and peaceful
"Love, of Money",MAVI,1,2019,10,18,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273bf14eb708e1a7c495e61d919,https://open.spotify.com/track/2XILilAwcXHdGwZLNHteue,,https://www.youtube.com/watch?v=AVLe3Uk1qB8,calm and peaceful
Good News,Mac Miller,1,2020,1,17,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY,,https://www.youtube.com/watch?v=aIHF7u9Wwiw,calm and peaceful
Small Worlds,Mac Miller,1,2018,8,3,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,https://open.spotify.com/track/4gT3mNJA8lnlkYFqGZ8IA2,,https://www.youtube.com/watch?v=v2E3ATcEGM4,calm and peaceful
Traingazing,"Sam Wills, Honey Mooncie",2,2021,6,4,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27371087870169426ed760f21a7,https://open.spotify.com/track/0edtKj1oW6rJ9f4wRtLPPH,,https://www.youtube.com/watch?v=urFJik-gPdQ,calm and peaceful
Just You,Teddy Adhitya,1,2019,8,23,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2731ee8b1eb07d9a778d76ce9aa,https://open.spotify.com/track/6L68DyIsn6SqEN9rStOXb9,,https://www.youtube.com/watch?v=sFMYggO2Spc,calm and peaceful
A Real Hero,"College, Electric Youth",2,2010,1,11,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273043216a90855c86208b7a02b,https://open.spotify.com/track/1aJrVsHwcQMZ8TZ6mlvT5J,,https://www.youtube.com/watch?v=-DSVDcw6iW8,calm and peaceful
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273350ab7a839c04bfd5225a9f5,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx,,https://www.youtube.com/watch?v=HVmpI3d11oM,calm and peaceful
Cherry Wine,grentperez,1,2021,9,10,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273136ef277a0791089f46628bb,https://open.spotify.com/track/1a1LrfgkTvfHFykIxcv8WU,,https://www.youtube.com/watch?v=1o00J04ThXQ,calm and peaceful
ADDICTIONS (FEAT. Tre' Amani),"Brent Faiyaz, Tre' Amani",2,2022,7,8,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,https://open.spotify.com/track/01VzuxoBYMAJLObfU0w6dI,,https://www.youtube.com/watch?v=YoAjth_dwAQ,calm and peaceful
Buttons,Steve Lacy,1,2022,7,15,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2736938311000a0e494a26986e5,https://open.spotify.com/track/4CzLJ2wsrk1QdhXXuT16gx,,https://www.youtube.com/watch?v=YNEq7cZXroM,calm and peaceful
Deep,Summer Walker,1,2018,10,19,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273fb023e6073e38a52082cc7b6,https://open.spotify.com/track/3LfHBTYZBTqmz43tvVXJBd,,https://www.youtube.com/watch?v=XCvAVXXPnSM,calm and peaceful
Toroka,Christian Kuria,1,2020,10,21,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273e41516ec8f41d8427bf7f5d9,https://open.spotify.com/track/6RMltEudPPFoJuUoshxRBB,,https://www.youtube.com/watch?v=FZZ9GdJ88_E,calm and peaceful
Love Songs - Bonus,Kaash Paige,1,2019,11,15,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27387a86b99f8dde9c7d7e3bf62,https://open.spotify.com/track/6qL5UWxRSQYml9O99ozoLv,,https://www.youtube.com/watch?v=a7ms3r-qt0E,calm and peaceful
Stevie Doesn't Wonder,Hotel Ugly,1,2021,12,7,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273d35174d28aadcef2843c7d07,https://open.spotify.com/track/7BgyWwbbybJr2IbQoI1gzH,,https://www.youtube.com/watch?v=W1ZFhuY72ls,calm and peaceful
Girls Need Love (with Drake) - Remix,"Summer Walker, Drake",2,2018,10,19,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273fb023e6073e38a52082cc7b6,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu,,https://www.youtube.com/watch?v=TP3moIiyZFI,calm and peaceful
Awkward,SZA,1,2022,6,9,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273e44bcbfd5aa9f2300d2ee63e,https://open.spotify.com/track/2xZ0zfuDTv5LxLhEgD82PG,,https://www.youtube.com/watch?v=p_11tLegwF0,calm and peaceful
2AM,SZA,1,2022,6,9,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273e44bcbfd5aa9f2300d2ee63e,https://open.spotify.com/track/3vZGtceCbJVh5aDT4XhE0p,,https://www.youtube.com/watch?v=9njAvx-2y4c,calm and peaceful
Meet Me in Amsterdam,RINI,1,2018,10,31,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273f99e70fc20e8dfb99e079578,https://open.spotify.com/track/3LRbalLzZcuvSR6jVnqclh,,https://www.youtube.com/watch?v=FhCuoJuHwQA,calm and peaceful
These Days,Wallows,1,2018,4,6,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273789e81b6ddbcbeda579d6066,https://open.spotify.com/track/4gZDCOFuLCxCRWNhSEcOtJ,,https://www.youtube.com/watch?v=pgWZQr7r0l0,calm and peaceful
Happier Than Ever,ASTN,1,2021,11,9,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273becc03cd85795759bbbfd634,https://open.spotify.com/track/7es56D0QedGMsK39wl2yFX,,https://www.youtube.com/watch?v=ybdz-nTVHrk,calm and peaceful
Soledad y el Mar (feat. Los Macorinos),"Natalia Lafourcade, Los Macorinos",2,2017,5,5,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27311f5f38824cdfb0a69c7fa07,https://open.spotify.com/track/1Xtz05nIgJiEYdncfd1w8h,,https://www.youtube.com/watch?v=31q9ogWJnxc,calm and peaceful
Can't Love You Anymore (With OHHYUK),"IU, OHHYUK",2,2017,4,7,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273b23e7999cc104cf32a269f6d,https://open.spotify.com/track/4twllsTUoTAFxiVeq3bNjq,,https://www.youtube.com/watch?v=0ldJaGupC1o,calm and peaceful
Show Me How,Men I Trust,1,2018,2,28,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273deeb617204bc14f4ee87b057,https://open.spotify.com/track/01TyFEZu6mHbffsVfxgrFn,,https://www.youtube.com/watch?v=OZRYzH0Q0pU,calm and peaceful
Fly Love,Off The Record,1,2011,6,3,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273f3b67c6725bb719811e4e207,https://open.spotify.com/track/76IfLMZHPqkULhgZ3w7sUK,,https://www.youtube.com/watch?v=SQFbKeS4fkI,calm and peaceful
"Hold On, We're Going Home","Drake, Majid Jordan",2,2013,1,1,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8,https://open.spotify.com/track/6jdOi5U5LBzQrc4c1VT983,,https://www.youtube.com/watch?v=GxgqpCdOKak,calm and peaceful
Loving Is Easy (feat. Benny Sings),"Rex Orange County, Benny Sings",2,2017,10,11,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2734c87f544c5e2016c3f88a01d,https://open.spotify.com/track/5EYi2rH4LYs6M21ZLOyQTx,,https://www.youtube.com/watch?v=39IU7ADaXmQ,calm and peaceful
Thinkin Bout You,Frank Ocean,1,2012,7,10,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,https://open.spotify.com/track/7DfFc7a6Rwfi3YQMRbDMau,,https://www.youtube.com/watch?v=6JHu3b-pbh8,calm and peaceful
Rex (Intro),Rex Orange County,1,2016,11,7,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273fe1854cea6c63b2ba726a299,https://open.spotify.com/track/2gpuOUD7W8uOJ2c0JTFIe9,,https://www.youtube.com/watch?v=bE2Hmf2dDls,calm and peaceful
Language,"Paperboy Fabe, Brent Faiyaz",2,2017,5,12,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273514cf65903e09649d7672c53,https://open.spotify.com/track/4RnvS1tmh1ERhjXX6dxv95,,https://www.youtube.com/watch?v=B0TaUHptqKY,calm and peaceful
What You Heard,Sonder,1,2019,2,22,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2739852437d39690c760e108a14,https://open.spotify.com/track/3a3dQOO19moXPeTt2PomoT,,https://www.youtube.com/watch?v=NomGdaA-g0w,calm and peaceful
You Might Be Sleeping,"Jakob, Clairo",2,2017,6,16,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2739873568e011ae48942acf38b,https://open.spotify.com/track/2KvbRojbZGMsWr1Nuj5n2f,,https://www.youtube.com/watch?v=B9NokdAGVvw,calm and peaceful
Uuuu,Steve Lacy,1,2020,12,4,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273c3545bbe806b845c2b52bc20,https://open.spotify.com/track/6M0EP76qW9TG4SNU0agu94,,https://www.youtube.com/watch?v=7nyUr79pCd8,calm and peaceful
Ryd,Steve Lacy,1,2017,2,24,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2734a6f514da7ab2b81a6f97e72,https://open.spotify.com/track/3I8yVFjvJoOBM9tX4ZpxEL,,https://www.youtube.com/watch?v=BCV_vlRDrsQ,calm and peaceful
Girl With The Tattoo Enter.lewd,Miguel,1,2010,11,30,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,https://open.spotify.com/track/1eUGmzzvahJjOSWgDHuRlv,,https://www.youtube.com/watch?v=XDOaT7nqqvI,calm and peaceful
Castaway,"Yuna, Tyler, The Creator",3,2019,7,12,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27323f6814ba461a087edc030e9,https://open.spotify.com/track/19zPT36WogsfBd8HIaUnt4,,https://www.youtube.com/watch?v=aPnnecct9xA,calm and peaceful
Watering My Plants,Larry June,1,2020,3,4,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273798eb7dbee9b7bb3545eea52,https://open.spotify.com/track/0LH7ijaQi0ybY6Oe4SCLo1,,https://www.youtube.com/watch?v=72_br_h8N4s,calm and peaceful
Face To Face,Ruel,1,2019,9,13,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27363752b7ac5728ac2fc8d3071,https://open.spotify.com/track/2QdVcmVPIxW826rRJDf58l,,https://www.youtube.com/watch?v=r5Z741PC9_c,calm and peaceful
Drive Safe,Rich Brian,1,2019,7,26,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27343460a075329cfcb79d32f47,https://open.spotify.com/track/6eDfe957aV4sqGnDhlSikJ,,https://www.youtube.com/watch?v=7bFFaTGOVI8,calm and peaceful
Easily,Bruno Major,1,2017,8,31,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273a74b5540eb5322f0bca74c7d,https://open.spotify.com/track/0RnxpSzxzwZgFQ0NahQr9K,,https://www.youtube.com/watch?v=sRJ4RywOPvA,calm and peaceful
Just Friends (Sunny),Musiq Soulchild,1,2000,11,14,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273f307484a6b0203eae76e176b,https://open.spotify.com/track/1ulVKX61ePVrT81RLFqrOj,,https://www.youtube.com/watch?v=i7zsG3XFUd8,calm and peaceful
Moments,Micah Edwards,1,2020,10,21,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2730f7c5c08cf868ecf5d1a4363,https://open.spotify.com/track/1g6aK9HzKkbbQ2RpqtUyvL,,https://www.youtube.com/watch?v=PFG8VCQ9pG0,calm and peaceful
Melting,Kali Uchis,1,2015,2,4,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273dbc47f8bae404ce15ffd055e,https://open.spotify.com/track/2kSb3wYSOV996xA2NSmpck,,https://www.youtube.com/watch?v=_QGIzmtIr3E,calm and peaceful
Oxford Circus,Frex,1,2022,6,3,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2738b9b76f4aeafb9c1859f2916,https://open.spotify.com/track/41pmDwHHK9rvdvp6sezqaf,,https://www.youtube.com/watch?v=gJD4_ny4GzI,calm and peaceful
Karma,Summer Walker,1,2018,10,19,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273fb023e6073e38a52082cc7b6,https://open.spotify.com/track/2Fyjjpg03fn7n5cj0Qm380,,https://www.youtube.com/watch?v=ie_dLVcfi7E,calm and peaceful
Valentine,Laufey,1,2022,8,26,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27348341e864d4b4881f56f01b4,https://open.spotify.com/track/6cx5CvFhqN19efStehJqoW,,https://www.youtube.com/watch?v=tyKu0uZS86Q,calm and peaceful
Blind,SZA,1,2022,12,9,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273bc18bdade69ec5ef0bb25b17,https://open.spotify.com/track/2CSRrnOEELmhpq8iaAi9cd,,https://www.youtube.com/watch?v=8UEM0dKbzAA,calm and peaceful
Like a Tattoo,Sade,1,1992,10,26,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273ee65bbd54f993b5f01d5c511,https://open.spotify.com/track/4PEGwWH4tL6H7dGl4uVSPg,,https://www.youtube.com/watch?v=oP4sBeV7llE,calm and peaceful
Gonna Love Me,Teyana Taylor,1,2018,6,23,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273abca6b34e370af95f3b926bd,https://open.spotify.com/track/3nXrCAE44KlevAkQB2XWcN,,https://www.youtube.com/watch?v=LwSCplLupTA,calm and peaceful
Fragile,Laufey,1,2022,8,26,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27348341e864d4b4881f56f01b4,https://open.spotify.com/track/608wYP5XWenLz8cOSYjX7X,,https://www.youtube.com/watch?v=zs7u0qG9pNI,calm and peaceful
Someone To Spend Time With,Los Retros,1,2019,2,12,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273a1f060b534d1d9c859acc73f,https://open.spotify.com/track/6SE4JAo7T8C7XkFka5bbga,,https://www.youtube.com/watch?v=VRQDOFaFqWk,calm and peaceful
24 Hrs (feat. Lil Tjay),"Kaash Paige, Lil Tjay",2,2022,11,18,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2732524d27e4df80eb86950913e,https://open.spotify.com/track/5shQWg4uYedbUEoqnwG5ds,,https://www.youtube.com/watch?v=JGTy1K3SoOY,calm and peaceful
Satisfaction,SiR,1,2022,5,5,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2736918c2542ef1c289888d9493,https://open.spotify.com/track/0hZIaQMGqu41dozEwqVa1b,,https://www.youtube.com/watch?v=G42BTYov528,calm and peaceful
Do It Right,Don Toliver,1,2022,11,18,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577,https://open.spotify.com/track/4ZevD501qZiFK7FY8DFn0V,,https://www.youtube.com/watch?v=no0RhhdJMlE,calm and peaceful
my hair,Ariana Grande,1,2020,10,30,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27355b8f4c3458e256eca14f18f,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR,,https://www.youtube.com/watch?v=ZTF6vF7nHlM,calm and peaceful
Gaslight,Eli Derby,1,2021,9,29,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27346477d3eba17e4a4a78170ad,https://open.spotify.com/track/64jK5HLnuxyCv4tYODdBXx,,https://www.youtube.com/watch?v=cm7rex1de2s,calm and peaceful
Doubt (feat. Wretch 32),"Samm Henshaw, Wretch 32",2,2018,10,4,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273e0db0bf7742c27574c4a01ed,https://open.spotify.com/track/3zmS23swrDKQGPIr20Ldl9,,https://www.youtube.com/watch?v=RfgL_OaTomc,calm and peaceful
Mind Control,"Fanum, Mina Wavii",2,2023,2,25,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273802af37878bf7ec3351f47b0,https://open.spotify.com/track/2bCXFmWCrv4s3AvlNyZRK6,,https://www.youtube.com/watch?v=ADN58Y5pEBM,calm and peaceful
Traffic,reggie,1,2021,10,27,0,0,0,0,0,0,0,0,120,Unknown,Major,50,50,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27313815e8fdda50b0e648aa000,https://open.spotify.com/track/5zBDAhKVH4lAXzXwmPGThy,,https://www.youtube.com/watch?v=RexRgUYkF4g,calm and peaceful
Glue Song,beabadoobee,1,2023,2,14,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273e3862aeefcb2f0860ef017e4,https://open.spotify.com/track/3iBgrkexCzVuPy4O9vx7Mf,,https://www.youtube.com/watch?v=y1cBhJLNNXU,calm and peaceful
Old Love,"yuji, putri dahlia",2,2022,8,19,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2736e0e899970f5868aea8251cb,https://open.spotify.com/track/3W4U7TEgILGpq0EmquurtH,,https://www.youtube.com/watch?v=SctrVF37GAQ,calm and peaceful
Shouldn't Be,Luke Chiang,1,2019,5,1,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273326e886bd27805cae163eb84,https://open.spotify.com/track/7F6PtLP6fJPVtA1FWVkl8K,,https://www.youtube.com/watch?v=jfDu6KZ9O4w,calm and peaceful
"OPEN A WINDOW (feat. Tyler, The Creator)","Rex Orange County, Tyler, The Creator",3,2022,3,11,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273761dc49441e6d2a991d46dc7,https://open.spotify.com/track/1TDeDFUYHjZKLsO6bzoVg1,,https://www.youtube.com/watch?v=KGkabBe-44I,calm and peaceful
Basement Jack,Steve Lacy,1,2019,5,24,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273962ff78ff496c98e5fed40d8,https://open.spotify.com/track/3NOIkyNWG0fEjkPkq9HVMW,,https://www.youtube.com/watch?v=hVemKitrKQ8,calm and peaceful
Window Seat,Erykah Badu,1,2010,3,30,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2732c1b088d399087bd3a1de30b,https://open.spotify.com/track/74HYrIbnpc2xKCTenv5qKM,,https://www.youtube.com/watch?v=9hVp47f5YZg,calm and peaceful
Weak,SWV,1,1992,10,27,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273f56546aac4f5d002c4c3d705,https://open.spotify.com/track/71EHOyEOhNx1SzTebRRyng,,https://www.youtube.com/watch?v=976b8TPPFJU,calm and peaceful
PICO,Brandon Banks,1,2020,3,3,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2734c9f08cebe16203b4adebc5f,https://open.spotify.com/track/4mAiI3PaplREdKnK5I6oY1,,https://www.youtube.com/watch?v=uKntjAjO9sY,calm and peaceful
